Laptop_Price,Laptop_Brand,Laptop_Colour,Laptop_Memory_GB,Laptop_Storage_GB,Laptop_Display_Size_in,Laptop_name,Laptop_Graphics,No_Of_Reviews,Rating_5,Processor_Company_Name,Storage_Type,Operating_System,Processor_Model
"$1,399.99",ASUS,Gray,24,2048,14,Vivobook,NVIDIA GeForce RTX 4060,4,5,Intel,SSD,Windows11, Core Ultra - Q543B-U94060
"$1,399.99",Dell,Graphite,16,512,13.4,XPS,No Graphics,32,4.6,Intel,SSD,Windows11, Core Ultra - XPS9340-7319BLK-PUS
$899.99,ASUS,Black,16,1024,17.3,Vivobook,No Graphics,2,4,AMD Ryzen,SSD,Windows11, 7 7730U - M3704YA-IS74
"$1,999.99",HP,Black,32,1024,14,OMEN,NVIDIA GeForce RTX 4070,58,4.3,Intel,SSD,Windows11, Core Ultra - 14-fb0023dx
"$1,349.99",Lenovo,Grey,16,1024,16,Legion,NVIDIA GeForce RTX 4070,10,4.8,AMD Ryzen,SSD,Windows11, 7 7735HS - 83EX0007US
"$1,059.99",Lenovo,Black,16,512,16,ThinkPad,No Graphics,3,5,No Info,SSD,Windows11,No Info - 21JN0073US
"$3,049.99",Dell,Platinum,32,1024,16.3,XPS,NVIDIA GeForce RTX 4060,17,4.8,Intel,SSD,Windows11, Evo Edition - XPS9640-9158SLV-PUS
"$2,149.99",Alienware,Moon,32,1024,14,No Model,NVIDIA GeForce RTX 4070,339,4.2,AMD Ryzen,SSD,Windows11, 9 - AWM18-A145BLK-PUS
"$1,199.99",Microsoft,(Metal),8,512,15,No Model,No Graphics,25,4.6,Intel,SSD,Windows11, Evo Platform - RFB-00026
$386.99,Lenovo,Gray,8,256,15.6,No Model,No Graphics,3,5,AMD Ryzen,SSD,Windows11, 3 - 82XQ001GUS
$799.99,Lenovo,Black,16,256,16,ThinkPad,No Graphics,2,5,AMD Ryzen,SSD,Windows11, 5 - 21JT001BUS
"$1,399.99",Microsoft,Graphite,16,512,13.8,Surface Laptop - Copilot+ PC,No Graphics,72,4.5,Snapdragon,SSD,Windows11, X Elite - ZGP-00037
"$1,839.99",Acer,Black,16,1024,16,Predator Helios,NVIDIA GeForce RTX 4080,186,4.4,Intel,SSD,Windows11, i9 - PH16-71-93FR
